location,dates,max_temp,rain_sum
23220,2024-11-17,45.3065,0.0
23220,2024-11-18,50.1665,0.0
23220,2024-11-19,52.3265,25.9
23220,2024-11-20,41.7695,0.3
23220,2024-11-21,55.6295,18.900002
23220,2024-11-22,40.904602,0.0
23220,2024-11-23,56.6546,0.0
